q,N,seed,method,factor name,RI,ARI
80,20,2,iHOOI,networkX1,0.805379746835443,0.560247495985793
80,20,2,iHOOI,networkY1,1,1
80,20,2,iHOOI,networkX2,0.574683544303797,0.153139356814701
80,20,2,iHOOI,networkY2,0.759810126582279,0.519781069950938
80,40,2,JisstPCA0 (oracle),sample,0.507692307692308,-0.078838174273859
80,40,2,JisstPCA0 (oracle),networkX1,1,1
80,40,2,JisstPCA0 (oracle),networkY1,1,1
80,40,2,JisstPCA0 (oracle),networkX2,0.501582278481013,0.00301279637182393
80,40,2,JisstPCA0 (oracle),networkY2,0.513924050632911,0.0182270091135047
80,40,2,JisstPCA0 (BIC),sample,1,1
80,40,2,JisstPCA0 (BIC),networkX1,1,1
80,40,2,JisstPCA0 (BIC),networkY1,1,1
80,40,2,JisstPCA0 (BIC),networkX2,0.501582278481013,0.00301279637182393
80,40,2,JisstPCA0 (BIC),networkY2,0.513924050632911,0.0182270091135047
80,40,2,G-JisstPCA0 (oracle),sample,0.533333333333333,-0.0226486860304288
80,40,2,G-JisstPCA0 (oracle),networkX1,1,1
80,40,2,G-JisstPCA0 (oracle),networkY1,1,1
80,40,2,G-JisstPCA0 (oracle),networkX2,0.493670886075949,-0.0126906806819638
80,40,2,G-JisstPCA0 (oracle),networkY2,0.493987341772152,-0.0121145109727664
80,40,2,G-JisstPCA0 (BIC),sample,0.533333333333333,-0.0226486860304288
80,40,2,G-JisstPCA0 (BIC),networkX1,1,1
80,40,2,G-JisstPCA0 (BIC),networkY1,1,1
80,40,2,G-JisstPCA0 (BIC),networkX2,0.493670886075949,-0.0126906806819638
80,40,2,G-JisstPCA0 (BIC),networkY2,0.494936708860759,-0.0109105603448276
80,40,2,JisstPCA2 (oracle),sample,1,1
80,40,2,JisstPCA2 (oracle),networkX1,1,1
80,40,2,JisstPCA2 (oracle),networkY1,1,1
80,40,2,JisstPCA2 (oracle),networkX2,1,1
80,40,2,JisstPCA2 (oracle),networkY2,0.975,0.949946184729937
80,40,2,JisstPCA2 (BIC),sample,1,1
80,40,2,JisstPCA2 (BIC),networkX1,1,1
80,40,2,JisstPCA2 (BIC),networkY1,1,1
80,40,2,JisstPCA2 (BIC),networkX2,1,1
80,40,2,JisstPCA2 (BIC),networkY2,0.975,0.949946184729937
80,40,2,G-JisstPCA2 (oracle),sample,1,1
80,40,2,G-JisstPCA2 (oracle),networkX1,1,1
80,40,2,G-JisstPCA2 (oracle),networkY1,1,1
80,40,2,G-JisstPCA2 (oracle),networkX2,1,1
80,40,2,G-JisstPCA2 (oracle),networkY2,1,1
80,40,2,G-JisstPCA2 (BIC),sample,1,1
80,40,2,G-JisstPCA2 (BIC),networkX1,1,1
80,40,2,G-JisstPCA2 (BIC),networkY1,1,1
80,40,2,G-JisstPCA2 (BIC),networkX2,1,1
80,40,2,G-JisstPCA2 (BIC),networkY2,0.975,0.949946184729937
80,40,2,iHOSVD,sample,1,1
80,40,2,iHOSVD,networkX1,1,1
80,40,2,iHOSVD,networkY1,1,1
80,40,2,iHOSVD,networkX2,0.607911392405063,0.218458811411598
80,40,2,iHOSVD,networkY2,0.496518987341772,-0.00804582398316402
80,40,2,iHOOI,sample,1,1
80,40,2,iHOOI,networkX1,1,1
80,40,2,iHOOI,networkY1,1,1
80,40,2,iHOOI,networkX2,0.574683544303797,0.153139356814701
80,40,2,iHOOI,networkY2,0.707594936708861,0.415231100515266
50,20,3,JisstPCA0 (oracle),sample,1,1
50,20,3,JisstPCA0 (oracle),networkX1,1,1
50,20,3,JisstPCA0 (oracle),networkY1,1,1
50,20,3,JisstPCA0 (oracle),networkX2,0.505063291139241,0.00996794871794872
50,20,3,JisstPCA0 (oracle),networkY2,0.493061224489796,-0.016842105263158
50,20,3,JisstPCA0 (BIC),sample,0.473684210526316,-0.0457948040510788
50,20,3,JisstPCA0 (BIC),networkX1,1,1
50,20,3,JisstPCA0 (BIC),networkY1,1,1
50,20,3,JisstPCA0 (BIC),networkX2,0.513924050632911,0.0279727001826397
50,20,3,JisstPCA0 (BIC),networkY2,0.493061224489796,-0.016842105263158
50,20,3,G-JisstPCA0 (oracle),sample,0.478947368421053,-0.0155490767735665
50,20,3,G-JisstPCA0 (oracle),networkX1,1,1
50,20,3,G-JisstPCA0 (oracle),networkY1,1,1
50,20,3,G-JisstPCA0 (oracle),networkX2,0.501582278481013,0.00320448628079318
50,20,3,G-JisstPCA0 (oracle),networkY2,0.502857142857143,0.00559832050384887
50,20,3,G-JisstPCA0 (BIC),sample,0.478947368421053,-0.0155490767735665
50,20,3,G-JisstPCA0 (BIC),networkX1,1,1
50,20,3,G-JisstPCA0 (BIC),networkY1,0.755102040816326,0.48780487804878
50,20,3,G-JisstPCA0 (BIC),networkX2,0.501582278481013,0.00320448628079318
50,20,3,G-JisstPCA0 (BIC),networkY2,0.502857142857143,0.00599580293794338
50,20,3,JisstPCA2 (oracle),sample,1,1
50,20,3,JisstPCA2 (oracle),networkX1,1,1
50,20,3,JisstPCA2 (oracle),networkY1,1,1
50,20,3,JisstPCA2 (oracle),networkX2,1,1
50,20,3,JisstPCA2 (oracle),networkY2,0.96,0.919990669465827
50,20,3,JisstPCA2 (BIC),sample,1,1
50,20,3,JisstPCA2 (BIC),networkX1,1,1
50,20,3,JisstPCA2 (BIC),networkY1,1,1
50,20,3,JisstPCA2 (BIC),networkX2,1,1
50,20,3,JisstPCA2 (BIC),networkY2,0.96,0.919990669465827
50,20,3,G-JisstPCA2 (oracle),sample,1,1
50,20,3,G-JisstPCA2 (oracle),networkX1,1,1
50,20,3,G-JisstPCA2 (oracle),networkY1,1,1
50,20,3,G-JisstPCA2 (oracle),networkX2,1,1
50,20,3,G-JisstPCA2 (oracle),networkY2,0.921632653061224,0.843283582089552
