method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,13,12,-0.0194825363261997
truth,V,1,14,12,-0.0229947736490054
truth,V,1,15,12,0.0208989431717434
truth,V,1,16,12,-0.0242086936177812
truth,V,1,17,12,-0.0206545317732634
truth,V,1,18,12,-0.0156713948254502
truth,V,1,19,12,-0.031084898796772
truth,V,1,20,12,-0.0198354193007485
truth,V,1,21,12,0
truth,V,1,22,12,0
truth,V,1,23,12,0
truth,V,1,24,12,0
truth,V,1,25,12,0
truth,V,1,26,12,0
truth,V,1,27,12,0
truth,V,1,28,12,0
truth,V,1,29,12,0
truth,V,1,30,12,0
truth,V,1,31,12,0
truth,V,1,32,12,0
truth,V,1,33,12,0
truth,V,1,34,12,0
truth,V,1,35,12,0
truth,V,1,36,12,0
truth,V,1,37,12,0
truth,V,1,38,12,0
truth,V,1,39,12,0
truth,V,1,40,12,0
truth,V,1,41,12,0
truth,V,1,42,12,0
truth,V,1,43,12,0
truth,V,1,44,12,0
truth,V,1,45,12,0
truth,V,1,46,12,0
truth,V,1,47,12,0
truth,V,1,48,12,0
truth,V,1,49,12,0
truth,V,1,50,12,0
truth,V,1,1,13,-0.00395480076549977
truth,V,1,2,13,-0.0463970469566475
truth,V,1,3,13,-0.0885071876959253
truth,V,1,4,13,-0.0087864260851051
truth,V,1,5,13,-0.0299018797613197
truth,V,1,6,13,0.0514879731492203
truth,V,1,7,13,-0.0431298814886632
truth,V,1,8,13,0.0472795365488521
truth,V,1,9,13,-0.0188462375662205
truth,V,1,10,13,-0.0220964093040263
truth,V,1,11,13,0.0154333095716468
truth,V,1,12,13,-0.0194825363261997
truth,V,1,13,13,0.0265293233609019
truth,V,1,14,13,0.0313119285667569
truth,V,1,15,13,-0.0284580411924448
truth,V,1,16,13,0.0329649204999786
truth,V,1,17,13,0.0281252267726587
truth,V,1,18,13,0.0213397010471188
truth,V,1,19,13,0.0423282327317663
truth,V,1,20,13,0.0270098432677363
truth,V,1,21,13,0
truth,V,1,22,13,0
truth,V,1,23,13,0
truth,V,1,24,13,0
truth,V,1,25,13,0
truth,V,1,26,13,0
truth,V,1,27,13,0
truth,V,1,28,13,0
truth,V,1,29,13,0
truth,V,1,30,13,0
truth,V,1,31,13,0
truth,V,1,32,13,0
truth,V,1,33,13,0
truth,V,1,34,13,0
truth,V,1,35,13,0
truth,V,1,36,13,0
truth,V,1,37,13,0
truth,V,1,38,13,0
truth,V,1,39,13,0
truth,V,1,40,13,0
truth,V,1,41,13,0
truth,V,1,42,13,0
truth,V,1,43,13,0
truth,V,1,44,13,0
truth,V,1,45,13,0
truth,V,1,46,13,0
truth,V,1,47,13,0
truth,V,1,48,13,0
truth,V,1,49,13,0
truth,V,1,50,13,0
truth,V,1,1,14,-0.00466775715989743
truth,V,1,2,14,-0.0547613295767683
truth,V,1,3,14,-0.104462925837892
truth,V,1,4,14,-0.0103704094594197
truth,V,1,5,14,-0.0352924765687037
truth,V,1,6,14,0.0607700285214011
truth,V,1,7,14,-0.0509051719824866
truth,V,1,8,14,0.0558029110259485
truth,V,1,9,14,-0.0222437653760636
truth,V,1,10,14,-0.0260798656753216
truth,V,1,11,14,0.0182155677429845
truth,V,1,12,14,-0.0229947736490054
truth,V,1,13,14,0.0313119285667569
truth,V,1,14,14,0.036956723593434
truth,V,1,15,14,-0.0335883482908914
truth,V,1,16,14,0.0389077106061953
truth,V,1,17,14,0.0331955353571968
truth,V,1,18,14,0.0251867409407087
truth,V,1,19,14,0.0499590050459948
